# Bundesland;Name des Betriebs ;Straße / Haus-Nr.;Ort;Alte Zulassungs-nummern;Neue Zulassungsnummer;Zulassungsnummer Eierpackstellen;CS;RW;WM;SH;CP;SH;CP;SH;CP;GHE;CP;MM;MP;MSM;PP;CC;PP;CC;PP;CC;PP;CC;PP;CC;PP;EPC;LEP;PP;AH;FV;ZV;FFPP;PP;WM;PC;DC;PP;Einschränkungen;Bemerkungen;Zulassung befristet bis;Zulassung ruht seit;Drittlandzulassungen;
BW;Aßmus GmbH;Ortsstraße 10;77866 Rheinau- Holzhausen;;BW 06066;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BW;Matthias Schäfer;Riedhöfe 1;77694 Kehl-Marlen;;BW 06068;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BW;Eberhard Würth Geflügelhof;Abt-Meister-Straße 19;79780 Stühlingen;;BW 06071;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BW;Alexander Trick;Am Rundblick 10;72172 Sulz a. N. OT Dürrenmett stetten;;BW 06074;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BW;Barbara Loosmann;Jakob-Dürrsestraße 30;77955 Ettenheim;;BW 06076;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BW;Diethelm Meyer u. Sohn Ralf GbR;Hauptstraße 4;77963 Schwanau- Wittenweier;;BW 06077;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BW;Ulrich Meyer;Domäne Hochburg ;79312 Emmendingen;;BW 06079;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BW;Hans-Jörg Sprich;Große Gaß 36;79576 Weil am Rhein;;BW 06081;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BW;Klaus Specker;Wehstetten 10a;78576 Emmingen-Liptingen;;BW 06084;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BW;Peter Ristau;Bogenstraße 1;78564 Wehingen;;BW 06087;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BW;Bernhard Maurath;Kestenhalde - Hof Kestenhalde 2;77887 Sasbachwalden;;BW 06091;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BW;Josef Thoma;Kreuzackerweg 1;79774 Albbruck;;BW 06093;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BW;Stefan & Manuela Frank GbR;Hof Immensitz  2;78187 Geisingen;;BW 06095;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BW;Westhoff OHG;Wildtalstraße 6;78187 Geisingen;;BW 06099;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BW;Bernhard Meyer;Marktstraße 34;79771 Klettgau;;BW 06103;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BW;Andreas Maurer;Am Gupfen 1;79809 Weilheim;;BW 06106;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BW;Martin Pfister;Winterhaldenweg 3;79865 Grafenhausen;;BW 06111;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BW;Markus Klösel;Kalvarienbergsiedlung 5;79780 Stühlingen;;BW 06113;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BW;Jörg Schön;Im Loh 3;79650 Schopfheim;;BW 06116;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BW;Franz Wehrle;Müllerhofweg 1;79183 Waldkirch;;BW 06055;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BW;Martin Irion;Oberer Winkel 14;78607 Talheim;;BW 06119;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BW;Bioland Eulenhof Gemüsegärtnerei;Gewerbestraße 2a;79804 Dogern;;BW 06140;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BW;Volker Kramer;Mettingerstraße 9;79780 Stühlingen;;BW 06157;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BW;Volker Sassen;Degerfeldstraße 13;72393 Burladingen-Hermannsdorf;;BW 07580;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BW;Hirschburger Frischdienst GmbH;Mahdenstraße 10;72138 Kirchentellinsfurt;;BW 08032;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Metzgerei Roland Hess;Pforzheimer Str. 12;71229 Leonberg;;BW 10009;;;;;B, O, P;B, O, P;;;;;wU;wU;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Roland Deuß;Heinzenbrunnerhof 1;71229 Leonberg;;BW 10012;;;;;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Fleischerei Lipp GmbH;Sindelfinger Straße 5;71069 Sindelfingen;;BW 10116;;;;;;B, O, P;;;;;;;;B, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Metzgerei & Service Baur KG;Hauptstraße 13/1;73249 Wernau;;BW 11004;;;;;B, C, O, P;B, C, O, P;;;;;;;B, P;B, P;;mp;;X;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Metzgerei und Gasthaus "Zum Löwen";Unterdorfstraße 1;73257 Köngen;;BW 11026;;;;;;S, B, P, O, C;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Metzgerei Reiner Heger;Hindenburgstraße 22;73054 Eislingen;;BW 12008;;;;;P, B, O;B, P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Hofmetzgerei Geyrenwald Martin Stölzle;Geyrenwald  1;73113 Ottenbach;;BW 12011;;;;;P, B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Andreas Reutter;Ghäuwiesen  3;73066 Uhingen;;BW 12015;;;;;O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Metzgerei Bernd Mayer;Eislinger Straße 15/1;73037 Göppingen;;BW 12019;;;;;P;B, P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Landmetzgerei Andreas Mühleisen;Rechberghäuser Straße 1;73104 Börtlingen;;BW 12022;;;;;B, P, C, O;B, P, O, C;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Landmetzgerei Peter Hummel;Ortsstraße 44;73072 Donzdorf;;BW 12025;;;;;P, B, C, O;;;;fG, R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Metzgerei Holl;Hauptstraße 50;73072 Donzdorf;;BW 12026;;;;;P, B, O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Dieter Hertler;Dürrentalweg  70;73326 Deggingen;;BW 12028;;;;;O, C;;L;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Metzgerei zum Adler;Hauptstraße 36/38;73326 Deggingen;;BW 12031;;;;;B, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Metzgerei Wolff und Köstlin GmbH;Lindenstraße 1;73095 Albershausen;;BW 12051;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Metzgerei Eugen Reichart;Stuttgarter Straße 36;73312 Geislingen ;;BW 12054;;;;;;B, P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Samariterstift Geislingen;Schillerstraße 4;73312 Geislingen;;BW 12058;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;
BW;CJD Jugenddorf Bläsiberg Ausbildungsküche Mühlhausen;Im Industrie und Businesspark 212;73347 Mühlhausen;;BW 12060;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;
BW;Metzgerei Stefan Renner;Pflugstraße 9;89537 Giengen;;BW 13006;;;;;B, P;B, P;;;;;;wU;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Heitheker und Abele;Hofgut Bernau ;89542 Herbrechtingen;;BW 13009;;;;;B;B;A;A;;;wU;wU;B;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
